Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2015-04-15T03:57:11.909,3,0.003144635881279928,-2.5640214754695703,FoVF,-0.708579084831484,0.7130074516082346,2457127.666259906
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2015-05-25T01:14:42.057,7,-0.006898724702136077,1.8712745707538043,FoVP,0.4555805150184513,0.719699434078125,2457167.556128361
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2015-05-25T03:01:16.336,7,-0.0034287380017253427,1.8751985815096697,FoVF,0.45169304903721974,0.7216260796232206,2457167.6301402207
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2015-05-25T07:14:56.335,1,0.0046874057018151645,1.8846624027836523,FoVP,0.442336631954699,0.7261841736089015,2457167.806307108
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2015-06-05T15:08:10.485,2,0.004903684754824762,2.6286390711184127,FoVF,-0.29489449593251243,0.7247429494940806,2457179.1354896934
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2015-06-05T19:21:50.462,5,-0.0025003839534799384,2.6386133438772355,FoVP,-0.3040125052310979,0.7198309126249766,2457179.3116542967
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2015-10-07T22:16:36.818,3,1.9269865364583564E-4,0.6981255653352185,FoVP,-0.7149386215671738,0.7150600059249163,2457303.429511509
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2015-11-06T23:44:24.765,7,-0.004774770900763628,-1.1473531666167327,FoVF,0.6207520722389499,0.7118077207549601,2457333.4882111116
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2016-03-01T09:39:09.023,1,0.0041462402646390605,-2.1745049868701414,FoVP,-0.5313868822382403,0.704394903114637,2457448.9005150516
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2016-03-28T11:18:32.633,6,-0.003155118856781136,2.3483744246733935,FoVF,0.6972218067548247,0.7092163594906642,2457475.9714511265
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2016-04-25T05:04:29.732,1,0.0065155723085502755,-2.709633363812361,FoVF,-0.6757395714163286,0.7153036551048293,2457503.7138194935
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2016-04-25T09:18:09.749,7,-0.005997051962729586,-2.707891826912783,FoVP,-0.6780930772811641,0.7124028013113888,2457503.8899900895
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2016-06-08T09:58:09.328,5,-3.017225359750017E-4,1.8648062048035414,FoVF,0.23375389628382218,0.7235304261896077,2457547.9203478512
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2016-06-08T14:11:49.284,1,0.003399732154490044,1.876652320882019,FoVP,0.222411178901386,0.7260376440545178,2457548.0965115195
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2016-06-08T15:58:23.422,2,0.004878960435094536,1.8816520698272963,FoVF,0.2176214356489874,0.7270442083711139,2457548.1705205846
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2016-06-13T10:02:30.782,2,0.004309018120510349,2.212002433899887,FoVF,-0.09817364515866585,0.7259114509418653,2457552.9235525965
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2016-06-13T14:16:10.696,3,8.032541754371445E-4,2.223893750257022,FoVP,-0.1093002284895953,0.7233711967982067,2457553.099714781
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2016-06-13T16:02:44.905,5,-7.374399522817878E-4,2.2288689549376963,FoVF,-0.11394608956334681,0.7222561250254985,2457553.1737242406
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2016-06-13T20:16:25.032,6,-0.004564342801484184,2.2406603897776107,FoVP,-0.12493426271448296,0.7194900245396806,2457553.3498888286
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2016-08-05T06:30:49.236,6,-0.0050034565602591246,0.6288404130603806,FoVP,0.12791582199298845,0.7224037468456584,2457605.776548552
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2016-08-05T08:17:23.515,7,-0.003289076237810729,0.6337723053795709,FoVF,0.12330738553524773,0.7236111504133427,2457605.8505539866
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2016-08-05T12:31:03.588,3,6.335867002668346E-4,0.6455654672123107,FoVP,0.11226471027076312,0.7263743429254255,2457606.02670642
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2016-08-05T14:17:37.774,3,0.002214535516588571,0.6505420059715253,FoVF,0.10759532035253318,0.7274879993656242,2457606.1007107366
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2016-08-10T18:35:35.696,1,0.003547989589049062,1.010618232483849,FoVP,-0.2378696145008032,0.7269228428805101,2457611.279665749
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2016-08-11T00:35:49.880,5,-0.0020634325822400518,1.027382768433248,FoVP,-0.25395828646259255,0.7230225092510477,2457611.5298200725
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2016-08-11T02:22:24.139,7,-0.003821211110144448,1.0323090450078511,FoVF,-0.25868250695564565,0.721810500283392,2457611.6038247785
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2016-09-23T17:29:25.464,3,0.0013478447896222755,-0.6938777433633743,FoVP,0.6784466902300474,0.721549693818919,2457655.231095964
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2016-09-23T19:15:59.664,1,0.006637184046097475,-0.6931576798885916,FoVF,0.6774677978716084,0.7227592257773853,2457655.305097391
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2016-10-21T11:15:02.824,4,-0.0013957672847293079,0.5316701108779294,FoVP,-0.7016213365551706,0.7121453726383169,2457682.9689747617
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2016-11-17T05:08:04.055,4,-0.001297260073989847,-1.2202352932261653,FoVP,0.5324177495534383,0.710256979056909,2457709.7122421297
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2016-11-17T06:54:38.274,3,0.0026195114595669116,-1.2240920426509945,FoVF,0.5341490979530584,0.7084105936387838,2457709.7862447114
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2017-03-12T18:11:54.157,5,-0.003074886416789561,-2.252041721190637,FoVP,-0.6178507367763484,0.7101600980133371,2457825.2573372684
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2017-04-12T01:39:28.881,6,-0.0028481860917888937,2.1828004305540194,FoVF,0.7110265875299513,0.711399902852757,2457855.57043985
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2017-05-06T05:46:29.504,4,-0.0019032251631876179,-2.8802358405035755,FoVP,-0.6184110102232416,0.7154358456143883,2457879.7437560596
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2017-08-14T08:48:02.766,4,-0.0017827123901914537,0.23737448582243864,FoVP,0.30008683038901274,0.7236783877586332,2457979.8715124433
